Measure,Day,T℃,Biol. rep,Techn. rep,data rep.,ESE00516,ESE00518,ESE00534,ESE00536,ESE00537,ESE00538,ESE00544,ESE00551,LMA0040,LMA0070,LMA0077,LMA0244,LMA0317,LMA0563,LMA1028,LMA1146,LMA1147,LMA1148,LMA1816,LMA1817,LMA1820,LMA1821,LMA1822,LMA1825,LMA1827,LMA1829,LMA1831,LMA1833,LMA1840,LMA1841,LMA1845,LMA1846,LMA1847,LMA1848,LMA1849
Proteolysis,7,25,1,B,1,0,0,0,28,40,0,54,0,,50,0,,0,0,45,0,,,,0,0,0,0,0,0,0,0,1,0,,,63,3,44,0
Proteolysis,7,25,1,B,2,0,0,0,30,41,0,45,0,,38,0,,0,0,47,0,,,,0,0,0,0,0,0,0,0,1,0,,,61,6,40,0
Proteolysis,7,25,1,B,3,0,0,0,33,38,0,50,0,,43,0,,0,0,45,0,,,,0,0,0,0,0,0,0,0,1,0,,,65,6,41,0
Proteolysis,7,25,1,C,1,0,0,0,33,45,0,55,0,,40,0,32,,0,46,0,,,0,0,0,,0,0,0,0,0,2,0,0,48,0,5,39,
Proteolysis,7,25,1,C,2,0,0,0,33,42,0,60,0,,38,0,30,,0,46,0,,,0,0,0,,0,0,0,0,0,2,0,0,47,0,6,37,
Proteolysis,7,25,1,C,3,0,0,0,33,43,0,55,0,,39,0,28,,0,46,0,,,0,0,0,,0,0,0,0,0,1,0,0,42,0,5,40,
Proteolysis,7,25,1,D,1,0,,0,32,39,0,,,,46,0,34,0,0,,0,,,0,0,,0,0,0,0,,0,0,0,,45,65,5,,0
Proteolysis,7,25,1,D,2,0,,0,32,40,0,,,,45,0,35,0,0,,0,,,0,0,,0,0,0,0,,0,0,0,,47,63,4,,0
Proteolysis,7,25,1,D,3,0,,0,34,36,0,,,,41,0,36,0,0,,0,,,0,0,,0,0,0,0,,0,0,0,,45,70,5,,0
Growth,14,15,1,A,1,52,73,,75,71,77,71,65,68,78,68,65,,49,70,70,,,67,77,75,71,79,68,61,65,72,,72,65,,76,73,73,60
Growth,14,15,1,A,2,,70,,75,71,,70,68,64,76,,61,,46,70,68,,,70,77,70,65,78,65,55,62,,,70,63,,76,75,70,57
Growth,14,15,1,A,3,,70,,75,74,,70,68,66,77,,61,,50,70,70,,,70,78,74,72,79,67,59,65,,,72,65,,75,73,70,60
Growth,14,15,1,B,1,52,70,72,78,74,75,67,67,70,78,66,71,75,51,60,73,,,77,80,70,70,65,69,58,62,70,74,68,65,,77,75,70,
Growth,14,15,1,B,2,,,56,,,76,,,66,78,,,75,,,72,,,75,78,,67,66,,63,,,73,,64,,75,74,,
Growth,14,15,1,B,3,,,67,,,77,,,65,78,,,77,,,70,,,75,75,,67,63,,58,,,75,,66,,76,76,,
Growth,14,15,1,C,1,53,73,65,73,75,75,70,68,61,78,66,72,73,47,75,68,,,55,74,71,,,67,54,62,69,74,70,,74,70,72,73,
