NUM.ESE	Temperature	Media	mesure1	mesure2	Measure	Date
377	25	Cheese	4,9	5	4,95	7 jours
380	25	Minimal media	4,2	4,1	4,15	7 jours
380	25	YPD	4,8	4,8	4,8	7 jours
380	25	Cheese	6,4	6,5	6,45	7 jours
516	25	Minimal media	NA	NA	NA	7 jours
516	25	YPD	3,7	4	3,85	7 jours
516	25	Cheese	6,3	6,3	6,3	7 jours
518	25	Minimal media	5,4	5,4	5,4	7 jours
518	25	YPD	5,4	5,4	5,4	7 jours
518	25	Cheese	6,2	6	6,1	7 jours
534	25	Minimal media	6	6,2	6,1	7 jours
534	25	YPD	5,5	5,3	5,4	7 jours
534	25	Cheese	9,4	9,4	9,4	7 jours
536	25	Minimal media	6	5,4	5,7	7 jours
536	25	YPD	6,5	6,5	6,5	7 jours
536	25	Cheese	7,3	7,2	7,25	7 jours
537	25	Minimal media	6,5	6,8	6,65	7 jours
537	25	YPD	6,7	6,8	6,75	7 jours
537	25	Cheese	7,8	7,8	7,8	7 jours
538	25	Minimal media	NA	NA	NA	7 jours
538	25	YPD	6,7	6,7	6,7	7 jours
538	25	Cheese	9,4	9,4	9,4	7 jours
540	25	Minimal media	5,9	5,6	5,75	7 jours
540	25	YPD	6,3	6,3	6,3	7 jours
540	25	Cheese	9,4	9,4	9,4	7 jours
544	25	Minimal media	6,4	6,4	6,4	7 jours
544	25	YPD	6,6	6,6	6,6	7 jours
544	25	Cheese	9,4	9,4	9,4	7 jours
545	25	Minimal media	5,3	5,3	5,3	7 jours
545	25	YPD	5,8	5,7	5,75	7 jours
545	25	Cheese	7	7	7	7 jours
548	25	Minimal media	6,5	6,4	6,45	7 jours
548	25	YPD	6,3	6,2	6,25	7 jours
548	25	Cheese	9,4	9,4	9,4	7 jours
549	25	Minimal media	6,1	5,9	6	7 jours
549	25	YPD	6,5	6,6	6,55	7 jours
549	25	Cheese	7,2	7,3	7,25	7 jours
551	25	Minimal media	6	6	6	7 jours
551	25	YPD	7,1	7	7,05	7 jours
551	25	Cheese	9,4	9,4	9,4	7 jours
945	25	Minimal media	3,6	3,4	3,5	7 jours
945	25	YPD	4,2	4,5	4,35	7 jours
945	25	Cheese	6,8	6,5	6,65	7 jours
972	25	Minimal media	6	6,1	6,05	7 jours
972	25	YPD	5,8	5,8	5,8	7 jours
972	25	Cheese	6,8	7	6,9	7 jours
988	25	Minimal media	5,4	5,4	5,4	7 jours
988	25	YPD	4,4	4,5	4,45	7 jours
988	25	Cheese	6,3	6,3	6,3	7 jours
991	25	Minimal media	6,5	6,6	6,55	7 jours
991	25	YPD	6	6	6	7 jours
991	25	Cheese	6,8	6,6	6,7	7 jours
1071	25	Minimal media	4,3	4,4	4,35	7 jours
1071	25	YPD	5,6	5,5	5,55	7 jours
1071	25	Cheese	6,5	6,5	6,5	7 jours
1072	25	Minimal media	4,5	4,4	4,45	7 jours
1072	25	YPD	5	4,9	4,95	7 jours
1072	25	Cheese	6,6	6,6	6,6	7 jours
1073	25	Minimal media	4,3	4,3	4,3	7 jours
1073	25	YPD	5,2	5,1	5,15	7 jours
1073	25	Cheese	4,7	5,3	5	7 jours
1074	25	Minimal media	5,3	5	5,15	7 jours
1074	25	YPD	4,9	4,7	4,8	7 jours
1074	25	Cheese	6,2	6,3	6,25	7 jours
1075	25	Minimal media	5	5,3	5,15	7 jours
1075	25	YPD	5,5	5,5	5,5	7 jours
1075	25	Cheese	6,7	7	6,85	7 jours
1076	25	Minimal media	NA	NA	NA	7 jours
1076	25	YPD	5,6	5,7	5,65	7 jours
1076	25	Cheese	7	7,2	7,1	7 jours
1077	25	Minimal media	5	5	5	7 jours
1077	25	YPD	6	6	6	7 jours
1077	25	Cheese	9,4	9,4	9,4	7 jours
1078	25	Minimal media	4,8	5	4,9	7 jours
1078	25	YPD	6,3	6,2	6,25	7 jours
1078	25	Cheese	7,2	7	7,1	7 jours
1079	25	Minimal media	3	3	3	7 jours
1079	25	YPD	4,2	4,2	4,2	7 jours
1079	25	Cheese	3,7	4,5	4,1	7 jours
1080	25	Minimal media	6,3	6,5	6,4	7 jours
1080	25	YPD	6,3	6,2	6,25	7 jours
1080	25	Cheese	7,5	7,5	7,5	7 jours
1081	25	Minimal media	NA	NA	NA	7 jours
1081	25	YPD	5,4	5,5	5,45	7 jours
1081	25	Cheese	4,9	4,6	4,75	7 jours
1082	25	Minimal media	5,4	5,6	5,5	7 jours
1082	25	YPD	4,9	5	4,95	7 jours
1082	25	Cheese	6,3	6,5	6,4	7 jours
1083	25	Minimal media	5	5,2	5,1	7 jours
1083	25	YPD	5,2	5,1	5,15	7 jours
1083	25	Cheese	6,3	6,5	6,4	7 jours
1084	25	Minimal media	5,3	5,3	5,3	7 jours
1084	25	YPD	5,2	5	5,1	7 jours
1084	25	Cheese	6,5	6,3	6,4	7 jours
1085	25	Minimal media	5,2	5	5,1	7 jours
1085	25	YPD	3,6	3,4	3,5	7 jours
1085	25	Cheese	6,6	6,6	6,6	7 jours
