scaffold;begin;end;window
0,1;1280001;1287500;257
0,1;1285001;1292500;258
0,1;1290001;1297500;259
0,1;1295001;1302500;260
0,1;1300001;1307500;261
0,1;1305001;1312500;262
0,1;1310001;1317500;263
0,1;1315001;1322500;264
0,1;1320001;1327500;265
0,1;1325001;1332500;266
0,1;1330001;1337500;267
0,1;1335001;1342500;268
0,1;1340001;1347500;269
0,1;1345001;1352500;270
0,1;1350001;1357500;271
0,1;1355001;1362500;272
0,1;1360001;1367500;273
0,1;1365001;1372500;274
0,1;1370001;1377500;275
0,1;1375001;1382500;276
0,1;1380001;1387500;277
0,1;1385001;1392500;278
0,1;1390001;1397500;279
0,1;1395001;1402500;280
0,1;1400001;1407500;281
0,1;1405001;1412500;282
0,1;1410001;1417500;283
0,1;1415001;1422500;284
0,1;1420001;1427500;285
0,1;1425001;1432500;286
0,1;1430001;1437500;287
0,1;1435001;1442500;288
0,1;1440001;1447500;289
0,1;1445001;1452500;290
0,1;1450001;1457500;291
0,1;1455001;1462500;292
0,1;1460001;1467500;293
0,1;1465001;1472500;294
0,1;1470001;1477500;295
0,1;1475001;1482500;296
0,1;1480001;1487500;297
0,1;1485001;1492500;298
0,1;1490001;1497500;299
0,1;1495001;1502500;300
0,1;1500001;1507500;301
0,1;1505001;1512500;302
0,1;1510001;1517500;303
0,1;1515001;1522500;304
0,1;1520001;1527500;305
0,1;1525001;1532500;306
0,1;1530001;1537500;307
0,1;1535001;1542500;308
0,1;1540001;1547500;309
0,1;1545001;1552500;310
0,1;1550001;1557500;311
0,1;1555001;1562500;312
0,1;1560001;1567500;313
0,1;1565001;1572500;314
0,1;1570001;1577500;315
0,1;1575001;1582500;316
0,1;1580001;1587500;317
0,1;1585001;1592500;318
0,1;1590001;1597500;319
0,1;1595001;1602500;320
0,1;1600001;1607500;321
0,1;1605001;1612500;322
0,1;1610001;1617500;323
0,1;1615001;1622500;324
0,1;1620001;1627500;325
0,1;1625001;1632500;326
0,1;1630001;1637500;327
0,1;1635001;1642500;328
0,1;1640001;1647500;329
0,1;1645001;1652500;330
0,1;1650001;1657500;331
0,1;1655001;1662500;332
0,1;1660001;1667500;333
0,1;1665001;1672500;334
0,1;1670001;1677500;335
0,1;1675001;1682500;336
0,1;1680001;1687500;337
0,1;1685001;1692500;338
0,1;1690001;1697500;339
0,1;1695001;1702500;340
0,1;1700001;1707500;341
0,1;1705001;1712500;342
0,1;1710001;1717500;343
0,1;1715001;1722500;344
0,1;1720001;1727500;345
0,1;1725001;1732500;346
0,1;1730001;1737500;347
0,1;1735001;1742500;348
0,1;1740001;1747500;349
0,1;1745001;1752500;350
0,1;1750001;1757500;351
0,1;1755001;1762500;352
0,1;1760001;1767500;353
0,1;1765001;1772500;354
0,1;1770001;1777500;355
0,1;1775001;1782500;356
0,1;1780001;1787500;357
0,1;1785001;1792500;358
0,1;1790001;1797500;359
0,1;1795001;1802500;360
0,1;1800001;1807500;361
0,1;1805001;1812500;362
0,1;1810001;1817500;363
0,1;1815001;1822500;364
0,1;1820001;1827500;365
0,1;1825001;1832500;366
0,1;1830001;1837500;367
0,1;1835001;1842500;368
0,1;1840001;1847500;369
0,1;1845001;1852500;370
0,1;1850001;1857500;371
0,1;1855001;1862500;372
0,1;1860001;1867500;373
0,1;1865001;1872500;374
0,1;1870001;1877500;375
0,1;1875001;1882500;376
0,1;1880001;1887500;377
0,1;1885001;1892500;378
0,1;1890001;1897500;379
0,1;1895001;1902500;380
0,1;1900001;1907500;381
0,1;1905001;1912500;382
0,1;1910001;1917500;383
0,1;1915001;1922500;384
0,1;1920001;1927500;385
0,1;1925001;1932500;386
0,1;1930001;1937500;387
0,1;1935001;1942500;388
0,1;1940001;1947500;389
0,1;1945001;1952500;390
0,1;1950001;1957500;391
0,1;1955001;1962500;392
0,1;1960001;1967500;393
0,1;1965001;1972500;394
0,1;1970001;1977500;395
0,1;1975001;1982500;396
0,1;1980001;1987500;397
0,1;1985001;1992500;398
0,1;1990001;1997500;399
0,1;1995001;2002500;400
0,1;2000001;2007500;401
0,1;2005001;2012500;402
0,1;2010001;2017500;403
0,1;2015001;2022500;404
0,1;2020001;2027500;405
0,1;2025001;2032500;406
0,1;2030001;2037500;407
0,1;2035001;2042500;408
0,1;2040001;2047500;409
0,1;2045001;2052500;410
0,1;2050001;2057500;411
0,1;2055001;2062500;412
0,1;2060001;2067500;413
0,1;2065001;2072500;414
0,1;2070001;2077500;415
0,1;2075001;2082500;416
0,1;2080001;2087500;417
